Último,Máxima,Mínima,Variação,Var. %,Vol.,Hora
Ibovespa,136.889,137.013,135.596,+1.281,"+0,94%",26/08
IBrX 50,"23.030,85","23.041,47","22.727,04","+302,07","+1,33%",26/08
Dow Jones,"41.240,52","41.420,05","41.140,23","+65,44","+0,16%",26/08
S&P 500,"5.616,84","5.651,62","5.602,34","-17,77","-0,32%",26/08
Nasdaq,"17.725,77","17.909,09","17.645,69","-152,03","-0,85%",26/08
Russell 2000,"2.218,10","2.238,75","2.214,80","-0,60","-0,03%",26/08
S&P 500 VIX,"16,15","16,67","15,81","0,00","0,00%",01:00:17
S&P/TSX,"23.348,97","23.413,95","23.304,32","+62,89","+0,27%",26/08
S&P/BMV IPC,"53.171,31","53.733,69","53.107,86","-319,61","-0,60%",26/08
DAX,"18.617,02","18.638,97","18.554,51","-16,08","-0,09%",26/08
Próximos Eventos Econômicos Importantes
JPY,"",JPY,"IPC Japão (YoY) Cons:2,10%Anterior:2,10%","","","2,10%","2,10%"
EUR,"",EUR,"PIB - Alemanha (QoQ) (Q2)Cons:-0,10%Anterior:0,20%","","","-0,10%","0,20%"
EUR,"",EUR,"Clima do Consumidor GfK - Alemanha  (Set)Anterior:-18,4","","","","-18,4"
EUR,"",EUR,"PIB - Alemanha (YoY) (Q2)Cons:-0,10%Anterior:-0,20%","","","-0,10%","-0,20%"
BRL,"",BRL,"IPCA-15 (MoM) (Ago)Cons:0,20%Anterior:0,30%","","","0,20%","0,30%"
BRL,"",BRL,"IPCA-15 Acumulado 12 meses (YoY) (Ago)Cons:4,38%Anterior:4,45%","","","4,38%","4,45%"
CAD,"",CAD,"Vendas por Atacado (MoM) (Jul)Anterior:-0,60%","","","","-0,60%"
Aaaa A Aaaaa,"22,53","+50,23%","33,85",Boa,"-0,18%",26/08
Aaaaaaaaaaaa Aa Aaa,"42,92","+42,72%","61,26",Ótimo,"+8,96%",26/08
A Aaaaaa Aa,"27,92","+34,61%","37,58",Ótimo,"-0,61%",26/08
Aaaaaaaa Aa Aa Aaaa,"52,59","+33,81%","70,37",Boa,"+0,23%",26/08
Aa Aaaaa Aaa,"17,70","+30,42%","23,08",Ótimo,"-0,28%",26/08
Aaaaa,"36,54","+24,43%","45,47",Justo,"+0,22%",26/08
Aaaaaaaaaaaaa,"13,08","+22,56%","16,03",Ótimo,"0,00%",26/08
Aaa Aaaa Aaaaaaaaaaa,"6,16","+20,85%","7,44",Ótimo,"-0,96%",26/08
Aaa Aa Aa,"16,02","+18,21%","18,94",Ótimo,"+0,13%",26/08
Aa Aaaa,"30,75","+18,03%","36,29",Ótimo,"-0,90%",26/08
Ibovespa,136.889,+1.281,"+0,94%",""
Small Cap SMLL,"2.191,82","-0,45","-0,02%",""
IBrX 50,"23.030,85","+302,07","+1,33%",""
Imobiliário IMOB,"963,66","-2,77","-0,29%",""
Consumo ICON,"2.995,74","-2,59","-0,09%",""
S&P 500derived,"5.616,84","-17,77","-0,32%",""
Dow Jones,"41.240,52","+65,44","+0,16%",""
Shanghai,"2.845,37","-10,15","-0,36%",""
Nasdaq,"17.725,77","-152,03","-0,85%",""
Nikkei 225derived,"38.157,00","+99,00","+0,26%",""
S&P Merval,"1.593.002,50","-13.964,86","-0,87%",""
Ibovespaderived,Out 24,138.849,"+0,01%",""
S&P 500,Set 24,"5.632,75","-0,08%",""
Dow Jones,Set 24,"41.307,00","-0,07%",""
Mini Ibovespa,Out 24,138.849,"+0,02%",""
Nasdaq 100,Set 24,"19.586,25","-0,03%",""
DAXderived,Set 24,"18.697,5","+0,16%",""
Apple,"227,18","+0,34","+0,15%",""
Tesla,"213,21","-7,11","-3,23%",""
Xiaomi,"18,70","-0,02","-0,11%",""
Netflix,"688,44","+1,71","+0,25%",""
Uber Tech,"72,61","-1,69","-2,27%",""
Walt Disney,"91,78","+1,22","+1,35%",""
Petróleo Brentderived,Nov 24,"80,17","-0,24%",""
Café Contrato Cderived,Dez 24,"249,68","+2,79%",""
Petróleo WTIderived,Out 24,"77,17","-0,32%",""
Soja Chicago derived,Nov 24,"980,50","-0,05%",""
Cacau NYderived,Dez 24,"8.040,00","+2,93%",""
Ouroderived,Dez 24,"2.543,50","-0,46%",""
iShares MSCI Brazil Capped,"30,70","+0,26","+0,85%",""
iShares Ibovespa ETF,"133,21","+1,23","+0,93%",""
iShares BM&FBOVESPA Small Cap ETF,"105,78","-0,07","-0,07%",""
iShares S&P 500 ETF,"343,90","-0,58","-0,17%",""
iShares MSCI Emerging Markets,"43,47","-0,37","-0,84%",""
ETFMG Alternative Harvest,"3,440","-0,070","-1,99%",""
EUA a 10 anos,"","3,824","+0,18%",""
Brasil a 10 anos,"","11,583","-0,49%",""
Brasil CDS 5 Anos,"","145,24","0,00%",""
US 10 YR T-Note,Set 24,"113,55","-0,04%",""
EUA a 2 anos,"","3,939","+0,13%",""
EUA a 30 anos,"","4,111","+0,10%",""
Petrobras PN,"39,57","+2,68","+7,26%",""
Casas Bahia ON,"6,35","-0,06","-0,94%",""
Magazine Luiza ON,"13,35","-0,27","-1,98%",""
Oi ON,"4,59","-0,06","-1,29%",""
Itaúsa PN,"10,95","-0,01","-0,09%",""
Vale ON,"58,05","+0,65","+1,13%",""
Bitcoin,"62.920,1","-1.198,3","-1,87%",""
Ethereum,"2.684,56","-59,76","-2,18%",""
Tether,"1,0002","-0,0002","-0,02%",""
BNB,"553,07","-16,91","-2,97%",""
Solana,"158,350","-1,806","-1,13%",""
USD Coin,"0,9998","+0,0002","+0,02%",""
Petrobras PN,"39,57","+7,26%","101,87M"
B3 ON,"12,80","+0,47%","29,49M"
Petrobras ON,"42,92","+8,96%","26,33M"
Lojas Renner ON,"17,70","-0,28%","20,26M"
Vale ON,"58,05","+1,13%","17,11M"
Itaú Unibanco PN,"36,54","+0,22%","14,36M"
Sabesp ON,"96,40","-0,41%","5,73M"
Sirius XM Holdings DRC,"18,50","+17,39%","3,95K"
Panatlântica ON,"40,15","+15,71%","5,00K"
Workday BDR,"89,55","+11,91%","131,00"
Karsten PN,"20,45","+9,95%","600,00"
Padtec ON,"2,14","+9,74%","263,10K"
Lennar BDR,"1.024,79","+9,25%","2,00"
Petrobras ON,"42,92","+8,96%","26,33M"
Banco Pan Subscrição,"0,02","-33,33%","4,83M"
Pinduoduo Inc BDR,"54,72","-28,30%","57,55K"
Americanas ON,"0,05","-16,67%","380,34M"
Infracommerce ON,"0,15","-11,76%","10,52M"
Finansinos SA Credito,"12,50","-10,71%","100,00"
Nordon ON,"9,00","-10,00%","500,00"
Fiagro High,"17,99","-9,87%","55,00"
Americanas ON,"0,05","-16,67%","380,34M"
Petrobras PN,"39,57","+7,26%","101,87M"
Vale ON,"58,05","+1,13%","17,11M"
CVC Brasil ON,"2,07","-8,00%","39,24M"
Magazine Luiza ON,"13,35","-1,98%","16,24M"
